,GSM,sample_name
GSM7788440_LBC033a.bed.gz,GSM7788440,LBC033a
GSM7788441_LBC033b.bed.gz,GSM7788441,LBC033b
GSM7788442_LBC088a.bed.gz,GSM7788442,LBC088a
GSM7788443_LBC088b.bed.gz,GSM7788443,LBC088b
GSM7788444_LBC103b.bed.gz,GSM7788444,LBC103b
GSM7788445_LBC225a.bed.gz,GSM7788445,LBC225a
GSM7788446_LBC225b.bed.gz,GSM7788446,LBC225b
GSM7788447_LBC287a.bed.gz,GSM7788447,LBC287a
GSM7788448_LBC287b.bed.gz,GSM7788448,LBC287b
GSM7788449_LBC320a.bed.gz,GSM7788449,LBC320a
GSM7788450_LBC509a.bed.gz,GSM7788450,LBC509a
GSM7788451_LBC509b.bed.gz,GSM7788451,LBC509b
GSM7788452_LBC541a.bed.gz,GSM7788452,LBC541a
GSM7788453_LBC541b.bed.gz,GSM7788453,LBC541b
GSM7788454_LBC548a.bed.gz,GSM7788454,LBC548a
GSM7788455_LBC548b.bed.gz,GSM7788455,LBC548b
GSM7788456_LBC729a.bed.gz,GSM7788456,LBC729a
GSM7788457_LBC729b.bed.gz,GSM7788457,LBC729b
GSM7789156_wEZJFG_TF.bed.gz,GSM7789156,wEZJFG_TF
GSM7789161_wH5UBF_TF.bed.gz,GSM7789161,wH5UBF_TF
GSM7789166_wHU30E_TF.bed.gz,GSM7789166,wHU30E_TF
GSM7789167_wIGFSE_TF.bed.gz,GSM7789167,wIGFSE_TF
GSM7789173_wL8WWS_TF.bed.gz,GSM7789173,wL8WWS_TF
GSM7789199_wLXE8W_TF.bed.gz,GSM7789199,wLXE8W_TF
