,pfTAS_ERP_ERN
LBC541a,1.0823830820506786
LBC033a,1.145742092774645
LBC541b,1.0819834973004119
LBC033b,1.1440856283353247
LBC548a,1.0175630010522556
LBC088a,1.0602524770862345
LBC548b,1.0178766041257745
LBC088b,1.05201343675711
LBC729a,1.1981405997697598
LBC103b,1.033882702831229
LBC729b,1.2040389841608474
LBC225a,1.157011915559194
wEZJFG_TF,1.0648227245865407
wH5UBF_TF,1.1354361355499059
LBC225b,1.1612370813920068
wHU30E_TF,1.070413147571156
wIGFSE_TF,1.0784907104946757
LBC287a,1.0728920453817934
wL8WWS_TF,1.0728551233148758
wLXE8W_TF,1.082695241035396
LBC287b,1.063143930468789
LBC320a,1.1940395309232417
LBC509a,1.018135313026703
LBC509b,1.0237362619680725
