,sample0,sample1,sample2
18,3.0,3.0,3.0
23,9.0,9.0,4.0
28,7.0,5.0,4.0
33,6.0,8.0,15.0
38,4.0,8.0,5.0
43,5.0,16.0,21.0
48,11.0,16.0,21.0
53,19.0,24.0,45.0
58,20.0,24.0,54.0
63,13.0,38.0,70.0
68,27.0,44.0,69.0
73,36.0,50.0,125.0
78,59.0,81.0,148.0
83,52.0,80.0,152.0
88,97.0,161.0,249.0
93,80.0,109.0,207.0
98,158.0,177.0,342.0
103,154.0,202.0,361.0
108,233.0,311.0,493.0
113,214.0,326.0,503.0
118,388.0,526.0,796.0
123,372.0,500.0,867.0
128,758.0,914.0,1377.0
133,1067.0,1429.0,2003.0
138,1612.0,2125.0,2683.0
143,1883.0,2381.0,3017.0
148,2437.0,3236.0,4710.0
153,2774.0,3655.0,4342.0
158,3901.0,5014.0,5798.0
163,5462.0,6695.0,7820.0
168,4636.0,5515.0,6438.0
173,3752.0,4361.0,5309.0
178,2488.0,2831.0,3446.0
183,1846.0,1931.0,2465.0
188,1293.0,1358.0,1638.0
193,876.0,891.0,1116.0
198,745.0,664.0,868.0
203,493.0,484.0,601.0
208,361.0,330.0,446.0
213,278.0,262.0,343.0
218,246.0,229.0,268.0
223,203.0,170.0,234.0
228,172.0,170.0,220.0
233,175.0,156.0,208.0
238,171.0,161.0,193.0
243,166.0,144.0,165.0
248,183.0,134.0,176.0
253,177.0,141.0,187.0
258,194.0,142.0,207.0
263,190.0,155.0,210.0
268,215.0,161.0,230.0
273,236.0,184.0,236.0
278,274.0,221.0,276.0
283,312.0,241.0,319.0
288,354.0,307.0,372.0
293,462.0,336.0,462.0
298,511.0,408.0,566.0
303,632.0,453.0,539.0
308,683.0,522.0,591.0
313,688.0,504.0,579.0
318,647.0,469.0,509.0
323,669.0,457.0,494.0
328,581.0,385.0,415.0
333,558.0,331.0,350.0
338,456.0,316.0,298.0
343,408.0,276.0,245.0
348,367.0,264.0,205.0
353,317.0,209.0,188.0
358,290.0,183.0,145.0
363,261.0,158.0,130.0
368,210.0,106.0,113.0
373,157.0,87.0,84.0
378,191.0,103.0,52.0
383,135.0,61.0,45.0
388,117.0,61.0,55.0
393,102.0,64.0,48.0
398,88.0,52.0,35.0
403,84.0,36.0,27.0
408,61.0,37.0,35.0
413,71.0,37.0,22.0
418,55.0,29.0,26.0
423,58.0,30.0,29.0
428,63.0,29.0,25.0
433,69.0,39.0,25.0
438,69.0,42.0,29.0
443,64.0,44.0,38.0
448,84.0,36.0,28.0
453,81.0,36.0,17.0
458,90.0,35.0,34.0
463,93.0,59.0,32.0
468,103.0,46.0,31.0
473,88.0,45.0,28.0
478,108.0,57.0,24.0
483,92.0,39.0,15.0
488,76.0,43.0,20.0
493,73.0,28.0,12.0
498,60.0,30.0,17.0
